company,ac_favorite,ac_forward,ac_twenum,en_favorite_before,en_forward_before,en_twenum_before,en_favorite_after,en_forward_after,en_twenum_after,favorite_before,forward_before,twenum_before,favorite_after,forward_after,twenum_after,en_favorite,en_forward,en_twenum,favorite,forward,twenum,acc.owner,founded_on_year,seed_year,teamsize,co,total_funding_usd
zazzy,2582,2400,2304,3,4,7,41,8,71,45,20,57,24,27,15,38,4,64,-21,7,-1,rockstart-acclerator,2013,2014,1,39,0
kaymbu,295,675,414,0,0,0,20,21,67,0,0,0,22,9,67,20,21,67,22,9,49,imagine-k12,2012,2014,1,66,0
spacefinity,304,1903,1604,11,2.5,39.5,149.5,66,109,8,20,40,3,55,0,138.5,63,69.5,-5,35,0,alphalab,2013,2013,2,66,25000
ideastring,0,10,1,1,8,50,9,19,124,0,1,1,6,1,4,8,11,74,6,0,4,flashpoint-at-georgia-tech,2011,2011,2,38,0
knowre,4,15,166,0,0,1,7,7,77,0,0,0,4,4,3,7,7,76,4,4,3,sparklabs,2012,2012,4,16,8600000
sportmeets,5,15,35,0,2,46,2,5,123,0,1,5,3,1,8,2,3,77,3,0,8,openfund,2010,2010,1,8,0
adfreeq,26,251,638,0.333333333,0,3,32.66666666,4,84.33333333,0,0,3,7,0,31,32.33333333,4,81.33333333,7,0,26,capital-innovators,2011,2012,6,40,328000
userfox,1219,1481,277,0,0,4,13,6,86,0,0,0,8,3,4,13,6,82,8,3,3,y-combinator,2011,2012,2,747,700000
geddit,295,675,414,1,0,3,39,2,88,3,0,5,2,11,2,38,2,85,-1,11,1,imagine-k12,2012,2014,1,66,0
rocki,2714,2978,1217,0,0,0,120,30,87,55,144,328,75,155,40,120,30,87,20,11,-30,techstars,2013,2013,1,489,633000
postling,0,0,107,1,0,36,14,5,123.5,0,0,12,25,11,136,13,5,87.5,25,11,119,dreamit-ventures,2009,2009,2,139,700000
threadable,5696,6437,924,11,4,38,148.3333333,153,125.6666667,0,0,0,8,0,6,137.3333333,149,87.66666667,8,0,0,y-combinator,2009,2014,4,747,0
karmakey,1,31,16,0,0,0,4,0,88,0,0,0,4,1,56,4,0,88,4,1,56,boomstartup,2010,2010,2,28,15000
blottr,309,1379,1763,12,103,45,92,105,133,17,290,289,8,290,0,80,2,88,-9,0,0,springboard,2010,2013,2,32,769035
goshi,19,177,64,0,0,0,4,15,89,0,0,6,3,15,0,4,15,89,3,15,0,excelerate-labs-2,2010,2011,1,30,75000
change-collective,3217,3613,1376,5,1,8.666666667,58.33333333,6,104,0,0,0,24,3,42,53.33333333,5,95.33333333,24,3,24,techstars,2014,2014,4,489,1400000
earbits,1026,1189,239,0,0,4,12,38,100,0,0,0,21,27,190,12,38,96,21,27,176,y-combinator,2010,2011,2,747,630000
chromatik,96,304,400,3,8,22,36.5,17,118,1,0,2,7,13,0,33.5,9,96,6,13,0,launchpadla,2010,2012,2,26,7700000
urx,3619,4352,639,58.6,45,106.6,302.5,144,207,0,0,0,14,0,17,243.9,99,100.4,14,0,6,y-combinator,2013,2013,7,747,15100000
